"","row","ID","age","gender","natLang","order","condition","cardinality","adjective","type","subtype","shape","display","sentence","response","time","code","conditionC","meanScore","sd","zScore","adjType","new.adj","item"
"65",65,"55a2fa33fdf99b073cd94947",40,"Female","English",39,"COARSE","3","SUPERLATIVE","target","","heart","[2-7-3]","This is the biggest heart.",7,1939,1815135332,"COARSE-3-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"biggest","big","heart-big"
"66",66,"55b53384fdf99b2b69c82509",37,"Male","English",4,"COARSE","4","COMPARATIVE","target","","circle","[3-7-1-2]","This is the smaller circle.",7,6881,1149465557,"COARSE-4-COMPARATIVE",6.05555555555556,0.53930480546961,1.75122571663727,"smaller","small","circle-small"
"67",67,"55b53384fdf99b2b69c82509",37,"Male","English",5,"CRISP","4","SUPERLATIVE","target","","cone","[1-7-2-6]","This is the shortest cone.",6,3774,1149465557,"CRISP-4-SUPERLATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"shortest","short","cone-short"
"68",68,"55b53384fdf99b2b69c82509",37,"Male","English",17,"COARSE","4","SUPERLATIVE","target","","triangle","[3-2-7-1]","This is the biggest triangle.",6,13968,1149465557,"COARSE-4-SUPERLATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"biggest","big","triangle-big"
"69",69,"55b53384fdf99b2b69c82509",37,"Male","English",20,"PROGRESSIVE","2","COMPARATIVE","target","","diamond","[7-5]","This is the bigger diamond.",7,4859,1149465557,"PROGRESSIVE-2-COMPARATIVE",6.05555555555556,0.53930480546961,1.75122571663727,"bigger","big","diamond-big"
"70",70,"55b53384fdf99b2b69c82509",37,"Male","English",22,"CRISP","2","SUPERLATIVE","target","","diamond","[7-6]","This is the smallest diamond.",5,4038,1149465557,"CRISP-2-SUPERLATIVE",6.05555555555556,0.53930480546961,-1.95725227153578,"smallest","small","diamond-small"
"71",71,"55b53384fdf99b2b69c82509",37,"Male","English",24,"COARSE","2","SUPERLATIVE","target","","heart","[7-3]","This is the smallest heart.",6,3258,1149465557,"COARSE-2-SUPERLATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"smallest","small","heart-small"
"72",72,"55b53384fdf99b2b69c82509",37,"Male","English",28,"PROGRESSIVE","4","SUPERLATIVE","target","","circle","[3-1-5-7]","This is the biggest circle.",6,4431,1149465557,"PROGRESSIVE-4-SUPERLATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"biggest","big","circle-big"
"73",73,"55b53384fdf99b2b69c82509",37,"Male","English",30,"CRISP","3","COMPARATIVE","target","","cone","[6-7-2]","This is the taller cone.",6,6576,1149465557,"CRISP-3-COMPARATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"taller","tall","cone-tall"
"74",74,"55b53384fdf99b2b69c82509",37,"Male","English",32,"PROGRESSIVE","3","COMPARATIVE","target","","pentagon","[3-5-7]","This is the smaller pentagon.",6,3696,1149465557,"PROGRESSIVE-3-COMPARATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"smaller","small","pentagon-small"
"75",75,"55b53384fdf99b2b69c82509",37,"Male","English",33,"PROGRESSIVE","3","SUPERLATIVE","target","","triangle","[3-5-7]","This is the smallest triangle.",6,6146,1149465557,"PROGRESSIVE-3-SUPERLATIVE",6.05555555555556,0.53930480546961,-0.103013277449251,"smallest","small","triangle-small"
"76",76,"55d7844969dbc30012b67f69",55,"Male","english",0,"CRISP","2","COMPARATIVE","target","","diamond","[6-7]","This is the bigger diamond.",6,8525,325199958,"CRISP-2-COMPARATIVE",6.5,0.827170191868511,-0.604470524826989,"bigger","big","diamond-big"
"77",77,"55d7844969dbc30012b67f69",55,"Male","english",1,"CRISP","3","COMPARATIVE","target","","cone","[7-6-2]","This is the shorter cone.",6,4563,325199958,"CRISP-3-COMPARATIVE",6.5,0.827170191868511,-0.604470524826989,"shorter","short","cone-short"
"78",78,"55d7844969dbc30012b67f69",55,"Male","english",3,"CRISP","3","SUPERLATIVE","target","","pentagon","[2-7-6]","This is the smallest pentagon.",7,5414,325199958,"CRISP-3-SUPERLATIVE",6.5,0.827170191868511,0.604470524826989,"smallest","small","pentagon-small"
"79",79,"55d7844969dbc30012b67f69",55,"Male","english",6,"COARSE","4","COMPARATIVE","target","","pentagon","[7-2-1-3]","This is the bigger pentagon.",5,6128,325199958,"COARSE-4-COMPARATIVE",6.5,0.827170191868511,-1.81341157448097,"bigger","big","pentagon-big"
"80",80,"55d7844969dbc30012b67f69",55,"Male","english",7,"COARSE","2","SUPERLATIVE","target","","triangle","[3-7]","This is the smallest triangle.",7,3735,325199958,"COARSE-2-SUPERLATIVE",6.5,0.827170191868511,0.604470524826989,"smallest","small","triangle-small"
"81",81,"55d7844969dbc30012b67f69",55,"Male","english",8,"PROGRESSIVE","3","COMPARATIVE","target","","heart","[3-7-5]","This is the bigger heart.",5,3171,325199958,"PROGRESSIVE-3-COMPARATIVE",6.5,0.827170191868511,-1.81341157448097,"bigger","big","heart-big"
